difference0,difference1,difference2,difference3,difference4,difference5,difference6,difference7,difference8,difference9,difference10,difference11,difference12,difference13,difference14,difference15,difference16,difference17,difference18,difference19,difference20,difference21,difference22,difference23,difference24,z_score
-11.46671734,-15.12333071,-12.57986824,-7.844841007,-3.103549377,-9.871735361,-10.71426494,-2.805588348,-6.73388094,-4.796243886,-5.170826966,-1.07666088,-4.08008353,-7.379301177,-5.468441597,-6.860843849,-4.637954483,-4.863202693,-7.999258698,-8.844833139,2.712880628,6.308521711,-4.588737904,-6.656812604,-4.320084082,-1.129215851
-3.185849187,-2.579043723,0.617272061,2.681146427,1.572544806,-1.717105847,-4.442990119,0.186301699,-0.28609631,2.346421844,-5.957247801,-5.599849509,-2.620719132,-0.114372828,0.470656321,0.578577372,-2.555358864,-7.945474401,-4.9124361,-6.327041859,-2.376592416,-9.257701495,-2.536887552,-3.690971015,-11.07133124,-0.698714915
-9.810171246,-8.028012124,-10.41886113,-9.460767709,-7.09344231,-7.962340007,-14.57891814,-11.62181398,-11.15433507,-12.47084711,-12.04004171,-7.974559533,-7.324567529,-11.63548547,-15.53815733,-12.29475888,-6.849356189,-10.04553479,-8.239419006,-11.01357036,-16.62607731,-11.98476005,-8.79050201,-13.1504163,-12.43409392,-1.062922164
-11.00552557,-1.072359182,-11.00340817,-16.65045745,-1.925310481,0.592128452,-2.017948362,-3.566248037,-7.898902979,-2.42845215,-1.377154533,-5.461562881,-9.768581079,-2.700911086,2.285835433,-3.278275026,-2.54504395,0.482962491,-11.59091002,2.403569597,0.207600077,-5.41230489,-3.032722371,-4.903842131,-11.58760558,-0.770723069
-13.52324045,-6.762510443,-4.346502169,-14.28525309,-19.65045315,-15.35663453,-20.08421904,-20.51538974,-11.91909675,-11.21358344,-18.86553757,-20.82834718,-18.71500934,-22.31372559,-18.97174156,-12.76522756,-9.866586503,-5.275275572,-17.93224621,-25.56059583,-12.95602301,-24.38033669,-22.98844512,-23.49613899,-25.21120051,-0.965464294
-2.439796324,-2.877395103,-2.194839784,-4.601333679,-11.08250356,-15.13007095,-14.27279828,-12.07944498,-5.609163319,-4.973369118,-10.98753587,-10.54667554,-9.644011804,-10.14141401,-7.137611634,-7.729471454,-7.862631199,-5.998552412,-8.155664826,-3.144703459,-3.637099638,-0.85048238,-9.033652488,-11.25344654,-15.28318516,-0.653356282
-0.32454074,2.900809434,-7.258049604,-2.802303609,-1.90810301,-2.490414801,-2.808491927,-6.350349167,-4.074929688,1.207246272,5.829962241,-2.263401382,-0.861106783,-2.12341247,-2.950165773,-1.210504263,0.432054315,-2.199753576,-1.090096175,0.57225942,-3.030179353,0.310899093,-4.080183137,-4.507024179,-9.408367279,-0.949099601
-12.30116356,-12.33536864,-13.6480082,-15.59782293,-15.27251067,-13.25034074,-12.22229108,-12.53713923,-14.14372978,-16.80003347,-14.34917153,-15.69211541,-12.62835292,-15.14764088,-16.18100405,-12.94409363,-13.19755498,-14.00679986,-14.80687234,-16.92388393,-15.34276445,-13.78102833,-11.12950997,-12.92469995,-15.04530232,-0.913369517
-9.625066455,-3.406441108,-4.591302492,-5.748145195,-6.968887249,-10.53116211,-1.046780408,-2.596760086,-4.30095583,-5.208341559,-6.135324125,-9.037448634,-2.040277985,-3.004055962,-4.743418965,-5.668453941,-6.445049545,-7.529148099,-8.398882807,-7.413320429,-3.337145569,-2.427094065,-7.66282195,-7.707855903,-9.302760346,-0.976052378
4.942587055,3.544236253,2.169985434,-8.139853433,-7.996198645,-10.63708501,-3.793082936,2.170306508,2.160272305,-4.830028965,-13.07261035,-15.20933566,-15.96094236,3.849966882,0.727464615,-5.747130679,-1.94939228,2.626802421,-1.991089248,3.39876183,-3.06199982,-2.960036398,-1.05981605,-2.7649662,-1.133247537,-1.088993199
-7.089649331,-13.42280092,-12.38798022,-5.146259568,-8.423939245,-18.06131592,-17.85324977,-11.74590693,-3.476928964,-2.959826326,-6.120413103,-2.828911712,-7.568305844,-1.628707157,0.803581346,-4.921674802,-8.117043711,-20.68405414,-11.12855587,-10.6715411,-7.509693461,-13.29452988,-6.595729397,-9.607358267,-20.07778704,-1.007885245
-8.418099629,-5.417455738,-5.806855243,-6.744885568,-9.250197481,-10.07546975,-4.451943441,-5.41397236,-6.281694682,-6.961650595,-10.672689,-2.895349823,-3.660720658,-4.796036262,-6.697186528,-8.06474214,-6.748429443,-4.304159222,-4.682295868,-8.99879672,-7.884627114,-8.267416778,-9.684993636,-10.0356265,-10.10489228,-0.64354707
-8.209301089,-3.94512193,0.07851415,-7.956233476,-11.18377439,-6.084421745,-13.97104938,-6.90465748,-8.125456214,-2.003850966,-4.219707447,-3.164697233,-10.32122306,-0.471190773,2.957734533,-8.082132299,-12.32247619,-4.853148857,-10.28187969,-3.417450165,1.247372643,-1.887533639,-5.441064335,-5.746801659,-12.30725021,-0.977577151
-7.556993638,-13.12451209,-9.075522407,-21.28334376,-23.45834485,-14.9332145,-17.06464548,-5.466607006,-6.173458857,-18.23021978,-18.22565288,-19.39661912,-7.849205576,-14.72035252,-12.20715291,-4.718855977,-14.88359871,-11.95494822,-10.48295676,-14.12049924,-17.54586024,-9.397547336,-8.706290042,-18.22618845,-20.13714616,-0.670480733
5.447008694,3.373952944,-6.841921044,-13.11424936,-6.409659562,1.161563793,1.544397905,-0.885791305,-1.728123632,-11.36406721,-7.136750019,-0.894241371,0.98786051,-2.447963749,-6.687066124,-11.77852631,0.57887228,-0.05889316,-4.31422728,1.646053549,0.568814022,-2.799562949,-1.793276042,-1.518987436,-1.712033939,-1.108489129
-7.371062774,-7.434389766,-7.486895131,-8.809258814,-8.483503711,-12.9331898,-7.556765338,-5.949464733,-5.444135549,-7.370565884,-8.036005931,-9.479482992,-11.38030765,-5.344920385,-4.922785869,-9.299578842,-9.083998323,-11.94590485,-10.41367263,-5.986774793,-6.362220571,-8.78372055,-9.244273789,-10.16955063,-10.87676164,-0.996599782
-14.91977255,-2.049011956,2.319859109,-0.751857021,-3.52185037,-1.958025436,-8.371166324,-3.240609674,-9.622956979,-4.386807014,-1.388405639,-10.43732972,-19.10844457,-9.373003189,-3.474788746,-2.064464938,-0.112828223,-7.605980177,-8.816541341,-3.667782859,-2.829687768,-4.257654742,-5.015989859,-8.906293849,-16.20403763,-1.166060737
1.012603299,-2.02215992,1.209429544,-4.062288111,-1.372458081,2.567996676,-2.809984395,-2.274301355,-1.154979285,-2.423880354,-0.481959094,1.115354652,-2.404328052,-5.315370672,-2.047517238,-1.065704646,-4.709815232,-9.224822096,-9.123457605,-17.4761598,-1.307350364,-0.299321972,-5.253064262,-5.495713593,-7.837584639,-1.436103383
-4.036051478,3.832948013,4.189981933,4.279780294,2.926147357,1.104542137,3.902305249,-7.82043828,-1.447572818,3.607850822,0.825653517,3.29235993,-5.554426481,2.195097981,2.842477903,2.063102058,5.70570271,-6.001626757,-4.25951655,-11.78402391,-11.77840978,-12.38840272,-7.728441529,-1.150384761,3.57486059,-1.60276068
-16.92636791,-15.44772221,-8.690812911,-16.74777931,-19.43977071,-3.151912247,-5.588828975,-22.53537359,-20.69269804,-10.44173418,-1.341297837,-1.2037437,-24.50162223,-18.73177663,-18.31064767,-10.28269918,-16.11919813,-21.97171045,-13.63980939,-0.274329765,-7.783775195,-12.51963517,-14.02421633,-14.02649414,-16.63769731,-1.707811274
-6.866107918,-7.362105889,5.021827166,6.043452957,1.443490278,1.284657391,-2.52015391,2.474774132,1.54766353,-5.20463427,0.992393918,-7.538252661,3.818026987,5.359167726,3.841041942,3.651718992,-4.09575366,-1.878014584,-1.02098895,2.251347459,2.291015204,-0.680339377,-0.893215959,-0.005371593,-3.485348117,-1.730335481
